#Vin in V, Eff in %
0.10475, 27.4492198
0.218048, 62.68853733
0.322022, 73.30911417
0.393495, 71.09915704
0.500492, 76.05880821
0.591724, 78.53773952
0.693825, 80.50384368
0.7973, 82.90628476
0.894938, 84.3388989
0.993171, 85.36023462
1.09443, 86.33968694
1.1961, 87.26917621
1.29763, 88.1027951
1.39897, 88.7993188
1.49959, 89.4520516
1.59995, 90.06620622
1.70062, 90.63919393
1.80243, 91.19931535
1.90559, 91.73129483
2.00787, 92.19740025
2.10718, 92.55680691
2.2069, 93.020087
2.30919, 93.47204962
2.41391, 93.98031914
2.51285, 94.49008839
2.62194, 95.19811428
2.73158, 95.44060627
